Name,Description,PrefixName,StartDate,EndDate,Status,ColorName,AssignedToOwnerID,AssignedByOwnerID
Create/Implement Communication Strategy,,Communications,,,On-Track,,,74
"Encourage Community input, involvment, and participation in TR",,Communications,,,On-Track,,81,74
Provide uselful info and educational opp. re: successful communities,,Communications,,,On-Track,,,74
Reinforce mission and objectives through communication,,Communications,,,On-Track,,,74
Support Communication Efforts of TR,,Communications,,,On-Track,,,74
Blue Zone Community Project,,Community Capability,1/1/2017,,N/A,White,,74
Engage Key Stakeholders,,Engagement,,,On-Track,,,74
Engage Residents,,Engagement,,,On-Track,,,74
Recruit Volunteers toward Highly Functioning Teams,,Engagement,,,On-Track,,,74
"Coach, facilitate, and mediate towards optimal team/staff performance",,Leadership Dev,,,On-Track,,80,74
Encourage alignment and consistency across the initiative,,Leadership Dev,,,On-Track,,80,74
Facilitate Community/Group Processes and Conversations,,Leadership Dev,,,N/A,,,74
ID and implement  initiatives to set climate and drive culture,,Leadership Dev,,,On-Track,,80,74
"ID, Deliver, and Support Volunteer Training",,Leadership Dev,,,On-Track,,80,74
Volunteer Retention,,Leadership Dev,,,On-Track,Light Green,81,74
Adding More Officers for Foot Patrol,,No Prefix,,,N/A,,,74
Create an organization tasked to look into the future for developments,"<span style=""font-size: 17.6px; font-family: calibri;""><span style=""line-height: 13px; white-space: pre-wrap; font-family: arial, sans, sans-serif; font-size: 13px; background-color: #ffffff;"">Create an organization tasked to look into the future for developments in existing and not-yet-invented industries and products.  </span><br /> </span>",No Prefix,,,N/A,,,74
Highlight entrepreneurial success stories and opportunities,"<span style=""font-size: 110%; font-family: calibri;"" data-sheets-value=""[null,2,&quot;Continually highlight entrepreneurial success stories and opportunities; get the message out there that the Rockford region is a place where current and aspiring entrepreneurs gather&quot;]"" data-sheets-userformat=""[null,null,14845,[null,2,&quot;@&quot;,1],null,[null,[[null,2,0,null,null,[null,2,0]],[null,0,0,3],[null,1,0,null,1]]],[null,[[null,2,0,null,null,[null,2,0]],[null,0,0,3],[null,1,0,null,1]]],[null,[[null,2,0,null,null,[null,2,0]],[null,0,0,3],[null,1,0,null,1]]],[null,[[null,2,0,null,null,[null,2,0]],[null,0,0,3],[null,1,0,null,1]]],0,0,4,null,null,[null,2,0],&quot;Calibri&quot;,11]"">Continually highlight entrepreneurial success stories and opportunities; get the message out there that the Rockford region is a place where current and aspiring entrepreneurs gather</span>",No Prefix,,,Not Approved,,,74
Build Framework and Process,,Process/Analysis,,,On-Track,,,74
Build out Process,,Process/Analysis,,,On-Track,,77,74
Drive Process for the initiative,,Process/Analysis,,,On-Track,,77,74
Review Dashboard,,Process/Analysis,,,Approved but Not Started,,,74
Envisioning Neighborhood Districts,"<!--StartFragment--> <p style=""line-height: 90%; margin-top: 10pt; margin-bottom: 0pt; margin-left: 0in; text-indent: 0in; direction: ltr; unicode-bidi: embed; word-break: normal;""><span style=""font-size: 14px;"">Envisioning Neighborhoods is engages people to create and sustain vibrant and prosperous neighborhoods for individuals and families currently living in the Rockford region as well as future residents.</span></p> <p style=""line-height: 90%; margin-top: 10pt; margin-bottom: 0pt; margin-left: 0in; text-indent: 0in; direction: ltr; unicode-bidi: embed; word-break: normal;""><span style=""font-size: 14px;"">Transform Rockford is leading the strategic visioning, alignment, and implementation process to achieve our communities vision as a top 25 community in 2025.</span></p> <!--EndFragment-->",Spoke Teams,3/13/2016,4/6/2018,Not Approved,Light Green,78,80
Rev. Brown Project,Implementing a holistic street ministry to reduce juvenile crime rate,Spoke Teams,5/1/2016,11/30/2016,Approved but Not Started,Light Green,,78
Develop and Implement Network Map technology tool(s),,Technology,,8/31/2016,On-Track,Light Green,74,74
Develop and Implement PM technology tool(s),,Technology,,6/30/2016,On-Track,Light Green,79,74
"Establish Processes used for Stakeholder Engagement, Targeted Communications, Network Alignment",,Technology,,6/30/2016,N/A,,77,74
Provide technical guidance on selecting / developing Network Map tool(s),,Technology,,9/30/2016,On-Track,Light Green,74,79
Provide technical guidance on selecting / developing PM tool(s),Provide technical guidance on selecting / developing PM tool(s)<br /> <br /> <ul>     <li></li> </ul>,Technology,,6/30/2016,On-Track,Light Green,79,74
Provide technical support for dashboard an reporting solution(s),,Technology,,3/31/2016,On-Track,Light Green,74,79
